"","share_issue","share","issue","lobbyist"
"Y0000016720L","NaN-WEL",NA,"WEL","Y0000016720L"
"Y0000016724L","0.166666666666667-TRD",0.166666666666667,"TRD","Y0000016724L"
"Y0000016733L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000016733L"
"Y0000016743L","NaN-WEL",NA,"WEL","Y0000016743L"
"Y0000016747L","0.190571361098822-TAX",0.190571361098822,"TAX","Y0000016747L"
"Y0000016750L","0.404347826086956-TAX",0.404347826086956,"TAX","Y0000016750L"
"Y0000016762L","0.137931034482759-MAN",0.137931034482759,"MAN","Y0000016762L"
"Y0000016770L","0.621824303642485-DEF",0.621824303642485,"DEF","Y0000016770L"
"Y0000016772L","0.152241594920304-RET",0.152241594920304,"RET","Y0000016772L"
"Y0000016773L","0.433333333333333-TAX",0.433333333333333,"TAX","Y0000016773L"
"Y0000016785L","NaN-WEL",NA,"WEL","Y0000016785L"
"Y0000016787L","1-HCR",1,"HCR","Y0000016787L"
"Y0000016796L","0.125-TRD",0.125,"TRD","Y0000016796L"
"Y0000016800L","1-FAM",1,"FAM","Y0000016800L"
"Y0000016806L","0.736842105263158-DEF",0.736842105263158,"DEF","Y0000016806L"
"Y0000016812L","0.05-TRF",0.05,"TRF","Y0000016812L"
"Y0000016814L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000016814L"
"Y0000016818L","1-BUD",1,"BUD","Y0000016818L"
"Y0000016819L","1-FAM",1,"FAM","Y0000016819L"
"Y0000016834L","1-HCR",1,"HCR","Y0000016834L"
"Y0000016835L","NaN-WEL",NA,"WEL","Y0000016835L"
"Y0000016837L","0.0746520146520147-VET",0.0746520146520147,"VET","Y0000016837L"
"Y0000016842L","0.410091324200913-FOO",0.410091324200913,"FOO","Y0000016842L"
"Y0000016848L","1-APP",1,"APP","Y0000016848L"
"Y0000016853L","0.287070547229338-ENV",0.287070547229338,"ENV","Y0000016853L"
"Y0000016854L","1-TRD",1,"TRD","Y0000016854L"
"Y0000016870L","0.5-HCR",0.5,"HCR","Y0000016870L"
"Y0000016879L","0.237769817069978-TRA",0.237769817069978,"TRA","Y0000016879L"
"Y0000016884L","0.142857142857143-TRA",0.142857142857143,"TRA","Y0000016884L"
"Y0000016896L","0.5-TAX",0.5,"TAX","Y0000016896L"
"Y0000016899L","0.390243902439024-DEF",0.390243902439024,"DEF","Y0000016899L"
"Y0000016901L","0.0594232134011029-TRD",0.0594232134011029,"TRD","Y0000016901L"
"Y0000016908L","0.142857142857143-TRU",0.142857142857143,"TRU","Y0000016908L"
"Y0000016917L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000016917L"
"Y0000016919L","1-MMM",1,"MMM","Y0000016919L"
"Y0000016921L","1-MMM",1,"MMM","Y0000016921L"
"Y0000016925L","0.226104966786572-MMM",0.226104966786572,"MMM","Y0000016925L"
"Y0000016928L","0.5-SMB",0.5,"SMB","Y0000016928L"
"Y0000016930L","0.142661524703778-TRA",0.142661524703778,"TRA","Y0000016930L"
"Y0000016931L","NaN-WEL",NA,"WEL","Y0000016931L"
"Y0000016932L","0.5-EDU",0.5,"EDU","Y0000016932L"
"Y0000016933L","0.423280423280423-AVI",0.423280423280423,"AVI","Y0000016933L"
"Y0000016936L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000016936L"
"Y0000016938L","1-SMB",1,"SMB","Y0000016938L"
"Y0000016939L","0.139140172592905-TAX",0.139140172592905,"TAX","Y0000016939L"
"Y0000016946L","0.117207792207792-TRA",0.117207792207792,"TRA","Y0000016946L"
"Y0000016957L","0.557027335416977-MMM",0.557027335416977,"MMM","Y0000016957L"
"Y0000016968L","0.203852596314908-HCR",0.203852596314908,"HCR","Y0000016968L"
"Y0000016973L","NaN-WEL",NA,"WEL","Y0000016973L"
"Y0000016974L","1-TRA",1,"TRA","Y0000016974L"
"Y0000016980L","0.637457044673539-DEF",0.637457044673539,"DEF","Y0000016980L"
"Y0000016984L","0.154818801471337-TOR",0.154818801471337,"TOR","Y0000016984L"
"Y0000016992L","0.25-VET",0.25,"VET","Y0000016992L"
"Y0000016996L","0.5-TAX",0.5,"TAX","Y0000016996L"
"Y0000017001L","NaN-WEL",NA,"WEL","Y0000017001L"
"Y0000017002L","0.25-MAR",0.25,"MAR","Y0000017002L"
"Y0000017003L","0.0966698069406895-TOR",0.0966698069406895,"TOR","Y0000017003L"
"Y0000017006L","0.428571428571429-NAT",0.428571428571429,"NAT","Y0000017006L"
"Y0000017018L","NaN-WEL",NA,"WEL","Y0000017018L"
"Y0000017019L","0.146697388632872-SCI",0.146697388632872,"SCI","Y0000017019L"
"Y0000017023L","0.351738473167045-TRD",0.351738473167045,"TRD","Y0000017023L"
"Y0000017027L","0.482355663542751-BUD",0.482355663542751,"BUD","Y0000017027L"
"Y0000017032L","0.214753241150182-TAX",0.214753241150182,"TAX","Y0000017032L"
"Y0000017036L","0.231078691423519-HCR",0.231078691423519,"HCR","Y0000017036L"
"Y0000017040L","0.125-TRD",0.125,"TRD","Y0000017040L"
"Y0000017043L","0.426292940732352-MMM",0.426292940732352,"MMM","Y0000017043L"
"Y0000017048L","1-ENV",1,"ENV","Y0000017048L"
"Y0000017051L","0.2-TAX",0.2,"TAX","Y0000017051L"
"Y0000017057L","0.2171206901543-HCR",0.2171206901543,"HCR","Y0000017057L"
"Y0000017058L","0.216666666666667-LBR",0.216666666666667,"LBR","Y0000017058L"
"Y0000017064L","0.209659090909091-BUD",0.209659090909091,"BUD","Y0000017064L"
"Y0000017081L","0.5-RES",0.5,"RES","Y0000017081L"
"Y0000017082L","0.468347714762916-DEF",0.468347714762916,"DEF","Y0000017082L"
"Y0000017086L","NaN-WEL",NA,"WEL","Y0000017086L"
"Y0000017091L","NaN-WEL",NA,"WEL","Y0000017091L"
"Y0000017092L","1-HCR",1,"HCR","Y0000017092L"
"Y0000017096L","0.904761904761905-LAW",0.904761904761905,"LAW","Y0000017096L"
"Y0000017104L","0.0690700808625337-WAS",0.0690700808625337,"WAS","Y0000017104L"
"Y0000017139L","0.689872983178853-HCR",0.689872983178853,"HCR","Y0000017139L"
"Y0000017148L","1-MMM",1,"MMM","Y0000017148L"
"Y0000017149L","0.287037037037037-MMM",0.287037037037037,"MMM","Y0000017149L"
"Y0000017152L","0.225974025974026-TAX",0.225974025974026,"TAX","Y0000017152L"
"Y0000017154L","1-HCR",1,"HCR","Y0000017154L"
"Y0000017156L","1-HCR",1,"HCR","Y0000017156L"
"Y0000017161L","0.939869789976856-BUD",0.939869789976856,"BUD","Y0000017161L"
"Y0000017167L","1-AVI",1,"AVI","Y0000017167L"
"Y0000017173L","0.0833333333333333-TRD",0.0833333333333333,"TRD","Y0000017173L"
"Y0000017177L","NaN-WEL",NA,"WEL","Y0000017177L"
"Y0000017179L","0.291666666666667-PHA",0.291666666666667,"PHA","Y0000017179L"
"Y0000017180L","0.5-MMM",0.5,"MMM","Y0000017180L"
"Y0000017183L","1-TRA",1,"TRA","Y0000017183L"
"Y0000017188L","0.109771920588233-GAM",0.109771920588233,"GAM","Y0000017188L"
"Y0000017202L","1-TRA",1,"TRA","Y0000017202L"
"Y0000017205L","0.0659254267744834-TRD",0.0659254267744834,"TRD","Y0000017205L"
"Y0000017209L","0.730769230769231-IND",0.730769230769231,"IND","Y0000017209L"
"Y0000017211L","1-TRD",1,"TRD","Y0000017211L"
"Y0000017213L","0.726235741444867-DEF",0.726235741444867,"DEF","Y0000017213L"
"Y0000017217L","0.572691552062868-BUD",0.572691552062868,"BUD","Y0000017217L"
"Y0000017220L","0.689237286479129-BUD",0.689237286479129,"BUD","Y0000017220L"
"Y0000017226L","1-ENV",1,"ENV","Y0000017226L"
"Y0000017236L","0.126227900506009-TAX",0.126227900506009,"TAX","Y0000017236L"
"Y0000017239L","1-MMM",1,"MMM","Y0000017239L"
"Y0000017243L","1-MMM",1,"MMM","Y0000017243L"
"Y0000017249L","0.171288056206089-RES",0.171288056206089,"RES","Y0000017249L"
"Y0000017251L","0.345952928669769-BUD",0.345952928669769,"BUD","Y0000017251L"
"Y0000017256L","1-DEF",1,"DEF","Y0000017256L"
"Y0000017257L","1-TAX",1,"TAX","Y0000017257L"
"Y0000017267L","1-EDU",1,"EDU","Y0000017267L"
"Y0000017268L","0.460606060606061-MMM",0.460606060606061,"MMM","Y0000017268L"
"Y0000017274L","NaN-WEL",NA,"WEL","Y0000017274L"
"Y0000017284L","0.5-MMM",0.5,"MMM","Y0000017284L"
"Y0000017287L","0.469650919695719-MMM",0.469650919695719,"MMM","Y0000017287L"
"Y0000017289L","0.80952380952381-DEF",0.80952380952381,"DEF","Y0000017289L"
"Y0000017300L","NaN-WEL",NA,"WEL","Y0000017300L"
"Y0000017302L","1-RET",1,"RET","Y0000017302L"
"Y0000017303L","1-TRD",1,"TRD","Y0000017303L"
"Y0000017304L","0.833333333333333-HCR",0.833333333333333,"HCR","Y0000017304L"
"Y0000017308L","0.412674650698603-AGR",0.412674650698603,"AGR","Y0000017308L"
"Y0000017312L","0.40565749235474-NAT",0.40565749235474,"NAT","Y0000017312L"
"Y0000017313L","NaN-WEL",NA,"WEL","Y0000017313L"
"Y0000017320L","0.0933550458342767-TRD",0.0933550458342767,"TRD","Y0000017320L"
"Y0000017321L","0.5-FOR",0.5,"FOR","Y0000017321L"
"Y0000017325L","1-BUD",1,"BUD","Y0000017325L"
"Y0000017329L","1-IND",1,"IND","Y0000017329L"
"Y0000017331L","0.25-MMM",0.25,"MMM","Y0000017331L"
"Y0000017339L","0.118993993993994-TAX",0.118993993993994,"TAX","Y0000017339L"
"Y0000017341L","0.376287266255407-BUD",0.376287266255407,"BUD","Y0000017341L"
"Y0000017345L","0.35952380952381-BUD",0.35952380952381,"BUD","Y0000017345L"
"Y0000017347L","0.118067305884565-TAX",0.118067305884565,"TAX","Y0000017347L"
"Y0000017351L","0.178774999960079-IMM",0.178774999960079,"IMM","Y0000017351L"
"Y0000017352L","0.551394349733578-BUD",0.551394349733578,"BUD","Y0000017352L"
"Y0000017355L","0.475535168195719-BUD",0.475535168195719,"BUD","Y0000017355L"
"Y0000017362L","0.0403951689583319-TAX",0.0403951689583319,"TAX","Y0000017362L"
"Y0000017381L","0.270884699229397-ENV",0.270884699229397,"ENV","Y0000017381L"
"Y0000017384L","1-ENG",1,"ENG","Y0000017384L"
"Y0000017388L","1-HCR",1,"HCR","Y0000017388L"
"Y0000017390L","0.149033083493693-TAX",0.149033083493693,"TAX","Y0000017390L"
"Y0000017392L","0.115652694156796-TEC",0.115652694156796,"TEC","Y0000017392L"
"Y0000017394L","0.789473684210526-BUD",0.789473684210526,"BUD","Y0000017394L"
"Y0000017399L","0.5-HCR",0.5,"HCR","Y0000017399L"
"Y0000017401L","0.393939393939394-EDU",0.393939393939394,"EDU","Y0000017401L"
"Y0000017405L","1-HCR",1,"HCR","Y0000017405L"
"Y0000017406L","0.48000379717123-FAM",0.48000379717123,"FAM","Y0000017406L"
"Y0000017412L","0.106833856898305-TAX",0.106833856898305,"TAX","Y0000017412L"
"Y0000017414L","0.304718821107379-COM",0.304718821107379,"COM","Y0000017414L"
"Y0000017415L","0.914018691588785-DEF",0.914018691588785,"DEF","Y0000017415L"
"Y0000017416L","0.144176527245988-BUD",0.144176527245988,"BUD","Y0000017416L"
"Y0000017418L","NaN-WEL",NA,"WEL","Y0000017418L"
"Y0000017420L","0.738461538461539-SMB",0.738461538461539,"SMB","Y0000017420L"
"Y0000017424L","0.147338416525741-TAX",0.147338416525741,"TAX","Y0000017424L"
"Y0000017430L","0.0256889015880062-TRU",0.0256889015880062,"TRU","Y0000017430L"
"Y0000017431L","0.077255897633989-CSP",0.077255897633989,"CSP","Y0000017431L"
"Y0000017431M","0.309045226130653-HCR",0.309045226130653,"HCR","Y0000017431M"
"Y0000017449L","0.23345446536725-ENG",0.23345446536725,"ENG","Y0000017449L"
"Y0000017450L","1-ANI",1,"ANI","Y0000017450L"
"Y0000017453L","NaN-WEL",NA,"WEL","Y0000017453L"
"Y0000017454L","0.4-EDU",0.4,"EDU","Y0000017454L"
"Y0000017455L","0.226681219041222-GAM",0.226681219041222,"GAM","Y0000017455L"
"Y0000017455M","0.958832335329341-DEF",0.958832335329341,"DEF","Y0000017455M"
"Y0000017457L","0.394817073170732-MAR",0.394817073170732,"MAR","Y0000017457L"
"Y0000017462L","1-FAM",1,"FAM","Y0000017462L"
"Y0000017465L","1-BUD",1,"BUD","Y0000017465L"
"Y0000017471L","0.875-TAX",0.875,"TAX","Y0000017471L"
"Y0000017472L","1-FOR",1,"FOR","Y0000017472L"
"Y0000017474L","0.641025641025641-HCR",0.641025641025641,"HCR","Y0000017474L"
"Y0000017475L","0.275862068965517-CIV",0.275862068965517,"CIV","Y0000017475L"
"Y0000017478L","0.240506329113924-TAX",0.240506329113924,"TAX","Y0000017478L"
"Y0000017481L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000017481L"
"Y0000017487L","0.378408458542014-MAR",0.378408458542014,"MAR","Y0000017487L"
"Y0000017488L","0.567415730337079-FOO",0.567415730337079,"FOO","Y0000017488L"
"Y0000017492L","1-MMM",1,"MMM","Y0000017492L"
"Y0000017503L","1-FIN",1,"FIN","Y0000017503L"
"Y0000017504L","1-BUD",1,"BUD","Y0000017504L"
"Y0000017505L","0.863941339978913-MMM",0.863941339978913,"MMM","Y0000017505L"
"Y0000017506L","1-DEF",1,"DEF","Y0000017506L"
"Y0000017508L","1-TRD",1,"TRD","Y0000017508L"
"Y0000017515L","1-TAX",1,"TAX","Y0000017515L"
"Y0000017526L","0.0714285714285714-TRD",0.0714285714285714,"TRD","Y0000017526L"
"Y0000017533L","1-FIN",1,"FIN","Y0000017533L"
"Y0000017534L","0.285578144853876-HCR",0.285578144853876,"HCR","Y0000017534L"
"Y0000017549L","0.342213114754098-BUD",0.342213114754098,"BUD","Y0000017549L"
"Y0000017553L","0.417216881735536-HCR",0.417216881735536,"HCR","Y0000017553L"
"Y0000017555L","0.375446496011384-BUD",0.375446496011384,"BUD","Y0000017555L"
"Y0000017557L","0.158922106003993-SCI",0.158922106003993,"SCI","Y0000017557L"
"Y0000017564L","1-DEF",1,"DEF","Y0000017564L"
"Y0000017567L","0.142857142857143-TEC",0.142857142857143,"TEC","Y0000017567L"
"Y0000017568L","0.230729166666667-MAN",0.230729166666667,"MAN","Y0000017568L"
"Y0000017569L","0.945229681978799-ENG",0.945229681978799,"ENG","Y0000017569L"
"Y0000017570L","1-DEF",1,"DEF","Y0000017570L"
"Y0000017571L","0.166297306512104-BUD",0.166297306512104,"BUD","Y0000017571L"
"Y0000017582L","0.0674917161110247-WAS",0.0674917161110247,"WAS","Y0000017582L"
"Y0000017586L","1-CAW",1,"CAW","Y0000017586L"
"Y0000017588L","0.305392089776926-BUD",0.305392089776926,"BUD","Y0000017588L"
"Y0000017593L","0.583869670152856-BUD",0.583869670152856,"BUD","Y0000017593L"
"Y0000017595L","0.0526315789473684-TRF",0.0526315789473684,"TRF","Y0000017595L"
"Y0000017597L","0.22964224310045-PHA",0.22964224310045,"PHA","Y0000017597L"
"Y0000017602L","0.521988527724665-ENG",0.521988527724665,"ENG","Y0000017602L"
"Y0000017603L","1-HCR",1,"HCR","Y0000017603L"
"Y0000017604L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000017604L"
"Y0000017606L","0.263157894736842-DEF",0.263157894736842,"DEF","Y0000017606L"
"Y0000017609L","0.582329317269076-EDU",0.582329317269076,"EDU","Y0000017609L"
"Y0000017611L","0.0907179779561688-MMM",0.0907179779561688,"MMM","Y0000017611L"
"Y0000017616L","0.117647058823529-HCR",0.117647058823529,"HCR","Y0000017616L"
"Y0000017619L","0.202981171548117-ENG",0.202981171548117,"ENG","Y0000017619L"
"Y0000017624L","0.2703925326415-CAW",0.2703925326415,"CAW","Y0000017624L"
"Y0000017625L","0.75-HCR",0.75,"HCR","Y0000017625L"
"Y0000017630L","0.149813106117464-TRA",0.149813106117464,"TRA","Y0000017630L"
"Y0000017635L","1-HOM",1,"HOM","Y0000017635L"
"Y0000017639L","0.468253968253968-BUD",0.468253968253968,"BUD","Y0000017639L"
"Y0000017643L","0.12835659964609-TAX",0.12835659964609,"TAX","Y0000017643L"
"Y0000017647L","1-FIN",1,"FIN","Y0000017647L"
"Y0000017648L","0.324027484715685-BUD",0.324027484715685,"BUD","Y0000017648L"
"Y0000017652L","0.628571428571429-ENG",0.628571428571429,"ENG","Y0000017652L"
"Y0000017653L","0.273809523809524-AGR",0.273809523809524,"AGR","Y0000017653L"
"Y0000017654L","0.292328042328042-TRA",0.292328042328042,"TRA","Y0000017654L"
"Y0000017655L","0.43623683461429-ENV",0.43623683461429,"ENV","Y0000017655L"
"Y0000017669L","0.0850645964225306-TRD",0.0850645964225306,"TRD","Y0000017669L"
"Y0000017670L","0.5-MMM",0.5,"MMM","Y0000017670L"
"Y0000017675L","0.585365853658537-DEF",0.585365853658537,"DEF","Y0000017675L"
"Y0000017678L","1-HCR",1,"HCR","Y0000017678L"
"Y0000017696L","NaN-WEL",NA,"WEL","Y0000017696L"
"Y0000017706L","0.108994623600821-TEC",0.108994623600821,"TEC","Y0000017706L"
"Y0000017711L","0.423487544483986-HCR",0.423487544483986,"HCR","Y0000017711L"
"Y0000017717L","0.180701754385965-RET",0.180701754385965,"RET","Y0000017717L"
"Y0000017719L","0.631578947368421-BUD",0.631578947368421,"BUD","Y0000017719L"
"Y0000017723L","0.542452830188679-IND",0.542452830188679,"IND","Y0000017723L"
"Y0000017724L","NaN-WEL",NA,"WEL","Y0000017724L"
"Y0000017727L","0.125-TAX",0.125,"TAX","Y0000017727L"
"Y0000017734L","0.16069984986719-TRD",0.16069984986719,"TRD","Y0000017734L"
"Y0000017739L","0.139543521406849-TAX",0.139543521406849,"TAX","Y0000017739L"
"Y0000017747L","1-TEC",1,"TEC","Y0000017747L"
"Y0000017748L","0.197181191354881-TAX",0.197181191354881,"TAX","Y0000017748L"
"Y0000017751L","1-BUD",1,"BUD","Y0000017751L"
"Y0000017752L","0.529411764705882-MED",0.529411764705882,"MED","Y0000017752L"
"Y0000017762L","0.086504410074025-TRD",0.086504410074025,"TRD","Y0000017762L"
"Y0000017763L","1-HCR",1,"HCR","Y0000017763L"
"Y0000017764L","0.451285073523135-HOM",0.451285073523135,"HOM","Y0000017764L"
"Y0000017765L","0.5-SCI",0.5,"SCI","Y0000017765L"
"Y0000017767L","0.333333333333333-DEF",0.333333333333333,"DEF","Y0000017767L"
"Y0000017770L","0.141659093254427-TRA",0.141659093254427,"TRA","Y0000017770L"
"Y0000017770M","0.494076549210207-FIN",0.494076549210207,"FIN","Y0000017770M"
"Y0000017772L","0.0522929842346303-VET",0.0522929842346303,"VET","Y0000017772L"
"Y0000017773L","NaN-WEL",NA,"WEL","Y0000017773L"
"Y0000017780L","0.19811320754717-TRD",0.19811320754717,"TRD","Y0000017780L"
"Y0000017781L","1-TRD",1,"TRD","Y0000017781L"
"Y0000017791L","NaN-WEL",NA,"WEL","Y0000017791L"
"Y0000017802L","0.104384849304782-WAS",0.104384849304782,"WAS","Y0000017802L"
"Y0000017803L","0.0769230769230769-WAS",0.0769230769230769,"WAS","Y0000017803L"
"Y0000017805L","1-TAX",1,"TAX","Y0000017805L"
"Y0000017808L","0.217013032758013-TAX",0.217013032758013,"TAX","Y0000017808L"
"Y0000017814L","0.273049645390071-LAW",0.273049645390071,"LAW","Y0000017814L"
"Y0000017817L","1-HCR",1,"HCR","Y0000017817L"
"Y0000017820L","0.2367772064225-TAX",0.2367772064225,"TAX","Y0000017820L"
"Y0000017836L","0.144231162620684-TRA",0.144231162620684,"TRA","Y0000017836L"
"Y0000017844L","0.306917957608635-HCR",0.306917957608635,"HCR","Y0000017844L"
"Y0000017848L","0.183256918560544-HCR",0.183256918560544,"HCR","Y0000017848L"
"Y0000017852L","0.5-EDU",0.5,"EDU","Y0000017852L"
"Y0000017854L","0.134357363123291-CSP",0.134357363123291,"CSP","Y0000017854L"
"Y0000017857L","0.0714285714285714-TRF",0.0714285714285714,"TRF","Y0000017857L"
"Y0000017858L","0.882042253521127-HCR",0.882042253521127,"HCR","Y0000017858L"
"Y0000017876L","0.216666666666667-LBR",0.216666666666667,"LBR","Y0000017876L"
"Y0000017878L","0.568369660343459-MMM",0.568369660343459,"MMM","Y0000017878L"
"Y0000017893L","0.527679492676124-HCR",0.527679492676124,"HCR","Y0000017893L"
"Y0000017900L","1-MMM",1,"MMM","Y0000017900L"
"Y0000017902L","0.714285714285714-ENV",0.714285714285714,"ENV","Y0000017902L"
"Y0000017904L","0.142460317460317-TAX",0.142460317460317,"TAX","Y0000017904L"
"Y0000017906L","0.470967741935484-ENG",0.470967741935484,"ENG","Y0000017906L"
"Y0000017907L","0.499424989313266-HCR",0.499424989313266,"HCR","Y0000017907L"
"Y0000017910L","1-HOU",1,"HOU","Y0000017910L"
"Y0000017924L","0.557304424871006-HCR",0.557304424871006,"HCR","Y0000017924L"
"Y0000017930L","0.615962984384037-TRD",0.615962984384037,"TRD","Y0000017930L"
"Y0000017933L","0.5-RET",0.5,"RET","Y0000017933L"
"Y0000017944L","1-HCR",1,"HCR","Y0000017944L"
"Y0000017948L","0.134920634920635-REL",0.134920634920635,"REL","Y0000017948L"
"Y0000017950L","1-TEC",1,"TEC","Y0000017950L"
"Y0000017956L","0.676157934700076-TRA",0.676157934700076,"TRA","Y0000017956L"
"Y0000017959L","0.300918836140888-HCR",0.300918836140888,"HCR","Y0000017959L"
"Y0000017960L","0.155603002070393-TOU",0.155603002070393,"TOU","Y0000017960L"
"Y0000017969L","0.476793248945148-BUD",0.476793248945148,"BUD","Y0000017969L"
"Y0000017970L","0.25-MMM",0.25,"MMM","Y0000017970L"
"Y0000017972L","0.466666666666667-FOR",0.466666666666667,"FOR","Y0000017972L"
"Y0000017978L","NaN-WEL",NA,"WEL","Y0000017978L"
"Y0000017979L","0.0932644651922104-TRA",0.0932644651922104,"TRA","Y0000017979L"
"Y0000017980L","0.159024400335579-TRA",0.159024400335579,"TRA","Y0000017980L"
"Y0000017986L","0.149206349206349-TAX",0.149206349206349,"TAX","Y0000017986L"
"Y0000017993L","0.27541474629673-BUD",0.27541474629673,"BUD","Y0000017993L"
"Y0000017995L","0.747191011235955-MMM",0.747191011235955,"MMM","Y0000017995L"
"Y0000017996L","0.44780487804878-CAW",0.44780487804878,"CAW","Y0000017996L"
"Y0000017998L","0.452380952380952-BUD",0.452380952380952,"BUD","Y0000017998L"
"Y0000018001L","1-MMM",1,"MMM","Y0000018001L"
"Y0000018008L","1-MMM",1,"MMM","Y0000018008L"
"Y0000018018L","0.229150485343085-CPI",0.229150485343085,"CPI","Y0000018018L"
"Y0000018020L","0.319539059390875-BUD",0.319539059390875,"BUD","Y0000018020L"
"Y0000018030L","0.0545884888311236-WEL",0.0545884888311236,"WEL","Y0000018030L"
"Y0000018035L","0.5-ENV",0.5,"ENV","Y0000018035L"
"Y0000018048L","0.149081551158044-AUT",0.149081551158044,"AUT","Y0000018048L"
"Y0000018050L","NaN-WEL",NA,"WEL","Y0000018050L"
"Y0000018057L","1-TAX",1,"TAX","Y0000018057L"
"Y0000018058L","1-DEF",1,"DEF","Y0000018058L"
"Y0000018059L","NaN-WEL",NA,"WEL","Y0000018059L"
"Y0000018061L","0.138708646015535-CPT",0.138708646015535,"CPT","Y0000018061L"
"Y0000018063L","0.0769230769230769-TAX",0.0769230769230769,"TAX","Y0000018063L"
"Y0000018067L","0.115514905149051-TRA",0.115514905149051,"TRA","Y0000018067L"
"Y0000018068L","0.0833333333333333-TRA",0.0833333333333333,"TRA","Y0000018068L"
"Y0000018077L","0.691056910569106-BUD",0.691056910569106,"BUD","Y0000018077L"
"Y0000018083L","0.184304107909258-RES",0.184304107909258,"RES","Y0000018083L"
"Y0000018085L","0.25-TRA",0.25,"TRA","Y0000018085L"
"Y0000018093L","0.666666666666667-BUD",0.666666666666667,"BUD","Y0000018093L"
"Y0000018095L","1-EDU",1,"EDU","Y0000018095L"
"Y0000018098L","1-MMM",1,"MMM","Y0000018098L"
"Y0000018110L","NaN-WEL",NA,"WEL","Y0000018110L"
"Y0000018121L","0.169638158316968-ENV",0.169638158316968,"ENV","Y0000018121L"
"Y0000018122L","0.5-DEF",0.5,"DEF","Y0000018122L"
"Y0000018123L","0.266353038260963-TAX",0.266353038260963,"TAX","Y0000018123L"
"Y0000018124L","1-FIN",1,"FIN","Y0000018124L"
"Y0000018132L","NaN-WEL",NA,"WEL","Y0000018132L"
"Y0000018141L","1-AVI",1,"AVI","Y0000018141L"
"Y0000018144L","0.456057007125891-HCR",0.456057007125891,"HCR","Y0000018144L"
"Y0000018151L","0.201375963561124-TAX",0.201375963561124,"TAX","Y0000018151L"
"Y0000018152L","0.0594232134011029-TRD",0.0594232134011029,"TRD","Y0000018152L"
"Y0000018154L","0.393617021276596-LBR",0.393617021276596,"LBR","Y0000018154L"
"Y0000018162L","0.22389126818391-RET",0.22389126818391,"RET","Y0000018162L"
"Y0000018167L","0.466666666666667-HOU",0.466666666666667,"HOU","Y0000018167L"
"Y0000018168L","NaN-WEL",NA,"WEL","Y0000018168L"
"Y0000018170L","0.288291047614975-MMM",0.288291047614975,"MMM","Y0000018170L"
"Y0000018171L","0.163682706418475-ENG",0.163682706418475,"ENG","Y0000018171L"
"Y0000018174L","NaN-WEL",NA,"WEL","Y0000018174L"
"Y0000018183L","1-HOU",1,"HOU","Y0000018183L"
"Y0000018185L","0.0701199476940125-TRA",0.0701199476940125,"TRA","Y0000018185L"
"Y0000018186L","0.262280701754386-FIN",0.262280701754386,"FIN","Y0000018186L"
"Y0000018187L","0.0975831939022123-TRF",0.0975831939022123,"TRF","Y0000018187L"
"Y0000018190L","0.270225526266521-TAX",0.270225526266521,"TAX","Y0000018190L"
"Y0000018191L","0.0601889713184181-UNM",0.0601889713184181,"UNM","Y0000018191L"
"Y0000018192L","0.166666666666667-TOR",0.166666666666667,"TOR","Y0000018192L"
"Y0000018201L","0.481770833333333-MMM",0.481770833333333,"MMM","Y0000018201L"
"Y0000018202L","0.226625438465247-TRA",0.226625438465247,"TRA","Y0000018202L"
"Y0000018206L","0.25-TRA",0.25,"TRA","Y0000018206L"
"Y0000018208L","0.359849637130068-FIN",0.359849637130068,"FIN","Y0000018208L"
"Y0000018212L","1-MAR",1,"MAR","Y0000018212L"
"Y0000018217L","1-HCR",1,"HCR","Y0000018217L"
"Y0000018223L","0.636363636363636-DEF",0.636363636363636,"DEF","Y0000018223L"
"Y0000018228L","0.25530303030303-TRA",0.25530303030303,"TRA","Y0000018228L"
"Y0000018242L","0.612244897959184-FIN",0.612244897959184,"FIN","Y0000018242L"
"Y0000018243L","0.146248382096645-TRD",0.146248382096645,"TRD","Y0000018243L"
"Y0000018245L","1-HCR",1,"HCR","Y0000018245L"
"Y0000018247L","NaN-WEL",NA,"WEL","Y0000018247L"
"Y0000018255L","0.333333333333333-FOR",0.333333333333333,"FOR","Y0000018255L"
"Y0000018257L","0.367117117117117-MMM",0.367117117117117,"MMM","Y0000018257L"
"Y0000018260L","0.416666666666667-ENV",0.416666666666667,"ENV","Y0000018260L"
"Y0000018263L","1-ENV",1,"ENV","Y0000018263L"
"Y0000018271L","1-TAX",1,"TAX","Y0000018271L"
"Y0000018279L","0.708333333333333-EDU",0.708333333333333,"EDU","Y0000018279L"
"Y0000018284L","0.174074074074074-TAX",0.174074074074074,"TAX","Y0000018284L"
"Y0000018294L","0.444863782051282-BUD",0.444863782051282,"BUD","Y0000018294L"
"Y0000018297L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000018297L"
"Y0000018301L","0.355066599246412-HCR",0.355066599246412,"HCR","Y0000018301L"
"Y0000018304L","0.157760994483214-TRD",0.157760994483214,"TRD","Y0000018304L"
