"","share_issue","share","issue","lobbyist"
"Y0000043250L","1-AGR",1,"AGR","Y0000043250L"
"Y0000043257L","0.115603117981239-VET",0.115603117981239,"VET","Y0000043257L"
"Y0000043264L","1-HCR",1,"HCR","Y0000043264L"
"Y0000043265L","0.5-VET",0.5,"VET","Y0000043265L"
"Y0000043268L","0.407631874298541-HCR",0.407631874298541,"HCR","Y0000043268L"
"Y0000043269L","0.817073170731707-ENG",0.817073170731707,"ENG","Y0000043269L"
"Y0000043272L","1-BAN",1,"BAN","Y0000043272L"
"Y0000043276L","0.760855884203902-ENG",0.760855884203902,"ENG","Y0000043276L"
"Y0000043278L","1-HCR",1,"HCR","Y0000043278L"
"Y0000043280L","0.2-TRD",0.2,"TRD","Y0000043280L"
"Y0000043281L","0.320833333333333-TAX",0.320833333333333,"TAX","Y0000043281L"
"Y0000043285L","1-TAX",1,"TAX","Y0000043285L"
"Y0000043288L","0.447300771208226-CPI",0.447300771208226,"CPI","Y0000043288L"
"Y0000043289L","0.51593025585881-HCR",0.51593025585881,"HCR","Y0000043289L"
"Y0000043333L","NaN-WEL",NA,"WEL","Y0000043333L"
"Y0000043334L","0.695652173913043-TRA",0.695652173913043,"TRA","Y0000043334L"
"Y0000043335L","0.25-TAX",0.25,"TAX","Y0000043335L"
"Y0000043336L","NaN-WEL",NA,"WEL","Y0000043336L"
"Y0000043337L","0.5-LAW",0.5,"LAW","Y0000043337L"
"Y0000043338L","1-GOV",1,"GOV","Y0000043338L"
"Y0000043339L","0.235416666666667-TRD",0.235416666666667,"TRD","Y0000043339L"
"Y0000043340L","NaN-WEL",NA,"WEL","Y0000043340L"
"Y0000043341L","0.25-TAX",0.25,"TAX","Y0000043341L"
"Y0000043343L","0.283333333333333-FAM",0.283333333333333,"FAM","Y0000043343L"
"Y0000043344L","NaN-WEL",NA,"WEL","Y0000043344L"
"Y0000043345L","0.833333333333333-ENV",0.833333333333333,"ENV","Y0000043345L"
"Y0000043346L","1-ENG",1,"ENG","Y0000043346L"
"Y0000043347L","1-MMM",1,"MMM","Y0000043347L"
"Y0000043348L","NaN-WEL",NA,"WEL","Y0000043348L"
"Y0000043349L","1-UTI",1,"UTI","Y0000043349L"
"Y0000043350L","0.0703416250918617-TRD",0.0703416250918617,"TRD","Y0000043350L"
"Y0000043351L","0.317524115755627-DEF",0.317524115755627,"DEF","Y0000043351L"
"Y0000043352L","0.0701199476940125-TRA",0.0701199476940125,"TRA","Y0000043352L"
"Y0000043353L","0.1-TAX",0.1,"TAX","Y0000043353L"
"Y0000043354L","NaN-WEL",NA,"WEL","Y0000043354L"
"Y0000043355L","0.232300198579514-EDU",0.232300198579514,"EDU","Y0000043355L"
"Y0000043356L","0.0620480399557587-TRD",0.0620480399557587,"TRD","Y0000043356L"
"Y0000043357L","0.0769230769230769-LBR",0.0769230769230769,"LBR","Y0000043357L"
"Y0000043358L","1-POS",1,"POS","Y0000043358L"
"Y0000043359L","0.275862068965517-CIV",0.275862068965517,"CIV","Y0000043359L"
"Y0000043360L","0.592971682019788-HCR",0.592971682019788,"HCR","Y0000043360L"
"Y0000043361L","0.0728831211010827-LBR",0.0728831211010827,"LBR","Y0000043361L"
"Y0000043362L","0.743589743589744-EDU",0.743589743589744,"EDU","Y0000043362L"
"Y0000043363L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000043363L"
"Y0000043364L","0.434782608695652-CSP",0.434782608695652,"CSP","Y0000043364L"
